FIPS,COUNTY,STATE,AREA,LATITUDE,LONGITUDE,ELEVATION
37001,Alamance,North Carolina,428.5670,36.0378,-79.3977,196
37003,Alexander,North Carolina,256.8220,35.9159,-81.1738,363
37005,Alleghany,North Carolina,235.9420,36.4911,-81.1250,874
37007,Anson,North Carolina,540.7600,34.9754,-80.1039,103
37009,Ashe,North Carolina,439.1540,36.4315,-81.4981,976
37011,Avery,North Carolina,247.3830,36.0721,-81.9213,1075
37013,Beaufort,North Carolina,789.7990,35.4961,-76.8707,7
37015,Bertie,North Carolina,695.2460,36.0621,-76.9845,12
37017,Bladen,North Carolina,883.7000,34.6095,-78.5599,26
37019,Brunswick,North Carolina,836.2280,34.0768,-78.2504,12
37021,Buncombe,North Carolina,653.0990,35.6069,-82.5281,818
37023,Burke,North Carolina,517.6000,35.7450,-81.7020,455
37025,Cabarrus,North Carolina,354.5260,35.3850,-80.5507,196
37027,Caldwell,North Carolina,473.0300,35.9472,-81.5435,456
37029,Camden,North Carolina,237.8210,36.4014,-76.2340,3
37031,Carteret,North Carolina,488.0530,34.8200,-76.6953,3
37033,Caswell,North Carolina,438.7360,36.3936,-79.3345,176
37035,Catawba,North Carolina,412.4310,35.6581,-81.2136,299
37037,Chatham,North Carolina,699.0350,35.6965,-79.2564,128
37039,Cherokee,North Carolina,467.3260,35.1312,-84.0597,645
37041,Chowan,North Carolina,169.7770,36.1491,-76.6161,5
37043,Clay,North Carolina,200.4700,35.0539,-83.7471,811
37045,Cleveland,North Carolina,457.9420,35.3297,-81.5493,269
37047,Columbus,North Carolina,946.0080,34.2634,-78.6547,21
37049,Craven,North Carolina,689.2020,35.1310,-77.1040,8
37051,Cumberland,North Carolina,671.2690,35.0440,-78.8263,45
37053,Currituck,North Carolina,268.1730,36.4074,-76.0272,2
37055,Dare,North Carolina,364.4590,35.7356,-75.8094,1
37057,Davidson,North Carolina,562.9000,35.7901,-80.2080,231
37059,Davie,North Carolina,266.6510,35.9251,-80.5413,228
37061,Duplin,North Carolina,799.9610,34.9326,-77.9333,27
37063,Durham,North Carolina,297.5140,36.0289,-78.8778,112
37065,Edgecombe,North Carolina,506.4330,35.9074,-77.5979,22
37067,Forsyth,North Carolina,418.6030,36.1258,-80.2531,259
37069,Franklin,North Carolina,492.8710,36.0778,-78.2867,96
37071,Gaston,North Carolina,354.3530,35.2925,-81.1750,232
37073,Gates,North Carolina,348.9040,36.4444,-76.7042,8
37075,Graham,North Carolina,301.9110,35.3451,-83.8295,864
37077,Granville,North Carolina,550.9970,36.3003,-78.6562,129
37079,Greene,North Carolina,273.2410,35.4825,-77.6786,24
37081,Guilford,North Carolina,655.5900,36.0731,-79.7826,240
37083,Halifax,North Carolina,731.3050,36.2532,-77.6560,47
37085,Harnett,North Carolina,598.8430,35.3667,-78.8707,75
37087,Haywood,North Carolina,558.7370,35.5516,-82.9809,1096
37089,Henderson,North Carolina,371.3810,35.3348,-82.4761,735
37091,Hertford,North Carolina,373.6460,36.3616,-76.9945,12
37093,Hoke,North Carolina,384.2150,35.0118,-79.2357,85
37095,Hyde,North Carolina,647.9180,35.5323,-76.2467,2
37097,Iredell,North Carolina,598.5920,35.8030,-80.8709,272
37099,Jackson,North Carolina,488.6200,35.2827,-83.1393,1023
37101,Johnston,North Carolina,803.9230,35.5136,-78.3664,62
37103,Jones,North Carolina,474.4190,35.0187,-77.3560,14
37105,Lee,North Carolina,252.2550,35.4712,-79.1735,100
37107,Lenoir,North Carolina,403.9020,35.2330,-77.6452,24
37109,Lincoln,North Carolina,304.4610,35.4807,-81.2205,268
37111,McDowell,North Carolina,449.3980,35.6755,-82.0448,551
37113,Macon,North Carolina,510.4150,35.1452,-83.4222,940
37115,Madison,North Carolina,455.2740,35.8533,-82.7052,803
37117,Martin,North Carolina,458.0890,35.8365,-77.1073,14
37119,Mecklenburg,North Carolina,559.0160,35.2451,-80.8292,209
37121,Mitchell,North Carolina,225.9670,36.0061,-82.1632,945
37123,Montgomery,North Carolina,506.8570,35.3274,-79.9026,158
37125,Moore,North Carolina,706.3430,35.3064,-79.4781,130
37127,Nash,North Carolina,549.4940,35.9625,-77.9864,57
37129,New Hanover,North Carolina,166.2940,34.2618,-77.8955,6
37131,Northampton,North Carolina,587.1640,36.4224,-77.4103,29
37133,Onslow,North Carolina,763.9430,34.7393,-77.4426,12
37135,Orange,North Carolina,400.1600,36.0538,-79.1215,184
37137,Pamlico,North Carolina,321.8490,35.1358,-76.7684,4
37139,Pasquotank,North Carolina,202.4830,36.3125,-76.3143,3
37141,Pender,North Carolina,842.1910,34.5270,-77.9160,11
37143,Perquimans,North Carolina,241.8320,36.2050,-76.4543,3
37145,Person,North Carolina,419.3010,36.3888,-78.9766,173
37147,Pitt,North Carolina,650.6530,35.5893,-77.3776,14
37149,Polk,North Carolina,232.1810,35.2758,-82.1701,372
37151,Randolph,North Carolina,779.8680,35.7056,-79.8035,197
37153,Richmond,North Carolina,474.2400,35.0016,-79.7421,101
37155,Robeson,North Carolina,941.9070,34.6389,-79.1009,45
37157,Rockingham,North Carolina,588.6930,36.3961,-79.7701,214
37159,Rowan,North Carolina,521.2890,35.6370,-80.5191,228
37161,Rutherford,North Carolina,568.0090,35.3989,-81.9177,338
37163,Sampson,North Carolina,941.3140,34.9869,-78.3697,38
37165,Scotland,North Carolina,312.2040,34.8396,-79.4770,77
37167,Stanly,North Carolina,402.9870,35.3141,-80.2490,156
37169,Stokes,North Carolina,475.9890,36.4005,-80.2341,296
37171,Surry,North Carolina,549.6210,36.4127,-80.6855,373
37173,Swain,North Carolina,548.6410,35.4808,-83.4897,956
37175,Transylvania,North Carolina,380.9920,35.1998,-82.7950,856
37177,Tyrrell,North Carolina,381.6020,35.8098,-76.2195,1
37179,Union,North Carolina,636.4480,34.9865,-80.5311,173
37181,Vance,North Carolina,277.2950,36.3625,-78.4110,117
37183,Wake,North Carolina,847.3240,35.7846,-78.6525,99
37185,Warren,North Carolina,455.3480,36.3971,-78.1101,92
37187,Washington,North Carolina,388.3270,35.8252,-76.5826,4
37189,Watauga,North Carolina,313.6320,36.2249,-81.6911,1004
37191,Wayne,North Carolina,554.5090,35.3575,-78.0069,39
37193,Wilkes,North Carolina,767.2000,36.2017,-81.1594,450
37195,Wilson,North Carolina,364.6550,35.6993,-77.9224,39
37197,Yadkin,North Carolina,333.3350,36.1549,-80.6639,284
37199,Yancey,North Carolina,308.9900,35.8923,-82.3076,1033
